Year_Code,Country_Name,Country_Code,Adults_15_living_HIV,Adults_Children_0_14_15_living_HIV,AIDS_estimated_deaths_UNAIDS,Adults_children_0_14_15_newly_infected_HIV,Adults_15_newly_infected_HIV,Children_0_14_living_with_HIV,Children_orphaned_by_HIV_AIDS,Children_0_14_newly_infected_HIV,Incidence_tuberculosis_per_100000,Labor_force_total,Mortality_traffic_injury_100K,Population_female,Population_male,Population_total,Malaria_cases_reported,Suicide_mortality_per_100K,Tuberculosis_death_per_100K,Tuberculosis_case_detection,Tuberculosis_treatment_success_NewCases
YR2010,Malaysia,MYS,110000,110000,8500,8700,8700,500,96000,100,76,12118629,23,13624427,14487862,28112289,5194,5.4,6.4,87,76
YR2010,Maldives,MDV,,,,,,,,,36,179666,3.2,166000,201000,367000,,9.8,2.8,80,81
YR2010,Mali,MLI,100000,110000,5500,6600,4700,14000,91000,1900,63,5211333,26.1,7544179,7530906,15075085,227482,5.9,11,56,77
YR2010,Malta,MLT,500,500,100,,,,,,8.1,173272,3.9,208143,206365,414508,,7.5,0.49,87,65
YR2010,Marshall Islands,MHL,,,,,,,,,460,,,,,52425,,,50,80,84
YR2010,Mauritania,MRT,13000,14000,1000,,,1000,11000,200,135,999829,25.2,1797102,1812441,3609543,1994,5.5,27,51,70
YR2010,Mauritius,MUS,,,,,,,,,22,571546,12.5,630609,619791,1250400,,8.3,0.98,45,91
YR2010,Mexico,MEX,180000,180000,5400,12000,12000,2400,71000,500,21,51046361,14.4,58930624,58388317,117318941,1226,4.2,2.2,83,82
YR2010,Middle East & North Africa,MEA,,,,,,,,,36,130454449,21.86859746,188017223,200358883,388376106,,4.270180799,3.4,77,86
YR2010,Moldova,MDA,11000,11000,500,1300,1300,200,1600,100,165,1242635,14.5,1849494,1712551,3562045,,20.4,14,61,67
YR2010,Monaco,MCO,,,,,,,,,3.1,,,,,37094,,,0.26,87,
YR2010,Mongolia,MNG,500,500,100,100,100,,,,428,1213765,19.7,1366755,1345895,2712650,,32.9,23,38,91
YR2010,Montenegro,MNE,500,500,100,100,100,,,,20,253566,14.6,314208,305220,619428,,11,0.18,87,87
YR2010,Morocco,MAR,19000,19000,1000,1600,1600,500,4400,100,100,11509142,22.3,16436824,15972815,32409639,3,5.3,10,88,88
YR2010,Mozambique,MOZ,1500000,1700000,81000,150000,120000,210000,1000000,36000,545,10730579,32.4,12460011,11761394,24221405,1522577,8.8,61,33,85
YR2010,Myanmar,MMR,230000,240000,16000,15000,14000,8900,120000,1100,384,27572763,18.4,25677919,24477977,50155896,420808,3.7,57,66,88
YR2010,Namibia,NAM,180000,200000,4800,12000,10000,17000,90000,1600,643,818571,21.5,1120725,1052445,2173170,556,8.7,32,80,85
YR2010,Nauru,NRU,,,,,,,,,34,,,,,10025,,,2.8,87,40
