ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEP_TIME,DEP_DELAY,TAXI_OUT,TAXI_IN,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,CANCELLED,DIVERTED,AIR_TIME,FLIGHTS,DISTANCE
13204,1320402,31454,12478,1247803,31703,JFK,"New York, NY",NY,1050,7,15,10,1314,-2,0,0,0,0,119,1,944
13204,1320402,31454,12478,1247803,31703,JFK,"New York, NY",NY,1144,17,29,12,1432,32,32,1,0,0,127,1,944
13204,1320402,31454,12478,1247803,31703,JFK,"New York, NY",NY,1126,-1,19,5,1351,-9,0,0,0,0,121,1,944
13204,1320402,31454,12478,1247803,31703,JFK,"New York, NY",NY,1123,-4,11,5,1335,-25,0,0,0,0,116,1,944
13204,1320402,31454,12478,1247803,31703,JFK,"New York, NY",NY,1229,62,16,5,1453,53,53,1,0,0,123,1,944
13204,1320402,31454,12478,1247803,31703,JFK,"New York, NY",NY,1137,10,,,,,,,1,0,,1,944
13204,1320402,31454,12478,1247803,31703,JFK,"New York, NY",NY,1124,-3,14,6,1344,-16,0,0,0,0,120,1,944
13204,1320402,31454,12478,1247803,31703,JFK,"New York, NY",NY,1121,1,17,9,1407,11,11,0,0,0,140,1,944
13204,1320402,31454,12478,1247803,31703,JFK,"New York, NY",NY,1117,-3,19,14,1356,0,0,0,0,0,126,1,944
13204,1320402,31454,12478,1247803,31703,JFK,"New York, NY",NY,1124,4,25,5,1354,-2,0,0,0,0,120,1,944
13204,1320402,31454,12478,1247803,31703,JFK,"New York, NY",NY,1114,-6,15,9,1341,-15,0,0,0,0,123,1,944
13204,1320402,31454,12478,1247803,31703,JFK,"New York, NY",NY,1122,2,14,4,1348,-8,0,0,0,0,128,1,944
13204,1320402,31454,12478,1247803,31703,JFK,"New York, NY",NY,1117,-3,22,8,1354,-2,0,0,0,0,127,1,944
13204,1320402,31454,12478,1247803,31703,JFK,"New York, NY",NY,1117,-3,16,8,1350,-6,0,0,0,0,129,1,944
13204,1320402,31454,12478,1247803,31703,JFK,"New York, NY",NY,1115,-5,13,10,1350,-6,0,0,0,0,132,1,944
13204,1320402,31454,12478,1247803,31703,JFK,"New York, NY",NY,1115,-5,16,10,1348,-8,0,0,0,0,127,1,944
13204,1320402,31454,12478,1247803,31703,JFK,"New York, NY",NY,1115,-5,14,4,1343,-13,0,0,0,0,130,1,944
13204,1320402,31454,12478,1247803,31703,JFK,"New York, NY",NY,1115,-5,17,8,1348,-8,0,0,0,0,128,1,944
13204,1320402,31454,12478,1247803,31703,JFK,"New York, NY",NY,1112,-8,14,8,1338,-18,0,0,0,0,124,1,944
13204,1320402,31454,12478,1247803,31703,JFK,"New York, NY",NY,1112,-8,16,10,1344,-12,0,0,0,0,126,1,944
13204,1320402,31454,12478,1247803,31703,JFK,"New York, NY",NY,1114,-6,14,8,1351,-5,0,0,0,0,135,1,944
13204,1320402,31454,12478,1247803,31703,JFK,"New York, NY",NY,1123,3,13,5,1346,-10,0,0,0,0,125,1,944
13204,1320402,31454,12478,1247803,31703,JFK,"New York, NY",NY,1114,-6,14,4,1325,-31,0,0,0,0,113,1,944
13204,1320402,31454,12478,1247803,31703,JFK,"New York, NY",NY,1117,-3,9,54,1413,17,17,1,0,0,113,1,944
13204,1320402,31454,12478,1247803,31703,JFK,"New York, NY",NY,1119,-1,27,4,1341,-15,0,0,0,0,111,1,944
13204,1320402,31454,12478,1247803,31703,JFK,"New York, NY",NY,1117,-3,14,5,1344,-12,0,0,0,0,128,1,944
13204,1320402,31454,12478,1247803,31703,JFK,"New York, NY",NY,1113,-7,12,8,1337,-19,0,0,0,0,124,1,944
13204,1320402,31454,12478,1247803,31703,JFK,"New York, NY",NY,1149,17,16,5,1413,8,8,0,0,0,123,1,944
13204,1320402,31454,12478,1247803,31703,JFK,"New York, NY",NY,1150,18,35,7,1436,31,31,1,0,0,124,1,944
13204,1320402,31454,12197,1219702,31703,HPN,"White Plains, NY",NY,1023,-3,10,2,1245,-15,0,0,0,0,130,1,972
13204,1320402,31454,12197,1219702,31703,HPN,"White Plains, NY",NY,1043,17,37,4,1334,34,34,1,0,0,130,1,972
13204,1320402,31454,12197,1219702,31703,HPN,"White Plains, NY",NY,1019,-7,14,3,1251,-9,0,0,0,0,135,1,972
13204,1320402,31454,10257,1025702,30257,ALB,"Albany, NY",NY,1045,-7,18,2,1322,-12,0,0,0,0,137,1,1073
13204,1320402,31454,10257,1025702,30257,ALB,"Albany, NY",NY,1051,-1,39,3,1353,19,19,1,0,0,140,1,1073
13204,1320402,31454,10257,1025702,30257,ALB,"Albany, NY",NY,1053,1,14,4,1332,-2,0,0,0,0,141,1,1073
13204,1320402,31454,10257,1025702,30257,ALB,"Albany, NY",NY,1426,53,23,3,1703,50,50,1,0,0,131,1,1073
13204,1320402,31454,10257,1025702,30257,ALB,"Albany, NY",NY,1330,-3,11,3,1557,-16,0,0,0,0,133,1,1073
13204,1320402,31454,10257,1025702,30257,ALB,"Albany, NY",NY,1444,71,12,4,1707,54,54,1,0,0,127,1,1073
13204,1320402,31454,10257,1025702,30257,ALB,"Albany, NY",NY,1330,-3,17,4,1550,-23,0,0,0,0,119,1,1073
13204,1320402,31454,10257,1025702,30257,ALB,"Albany, NY",NY,1404,31,26,3,1702,49,49,1,0,0,149,1,1073
13204,1320402,31454,10257,1025702,30257,ALB,"Albany, NY",NY,1354,21,17,3,1654,41,41,1,0,0,160,1,1073
13204,1320402,31454,10257,1025702,30257,ALB,"Albany, NY",NY,1318,-15,20,2,1606,-7,0,0,0,0,146,1,1073
13204,1320402,31454,10257,1025702,30257,ALB,"Albany, NY",NY,1526,113,12,2,1813,120,120,1,0,0,153,1,1073
13204,1320402,31454,10257,1025702,30257,ALB,"Albany, NY",NY,1552,139,9,3,1827,134,134,1,0,0,143,1,1073
13204,1320402,31454,10257,1025702,30257,ALB,"Albany, NY",NY,1357,24,16,2,1630,17,17,1,0,0,135,1,1073
13204,1320402,31454,10257,1025702,30257,ALB,"Albany, NY",NY,1320,-13,12,3,1556,-17,0,0,0,0,141,1,1073
13204,1320402,31454,10257,1025702,30257,ALB,"Albany, NY",NY,1324,-9,13,3,1558,-15,0,0,0,0,138,1,1073
13204,1320402,31454,10257,1025702,30257,ALB,"Albany, NY",NY,1329,-4,8,2,1607,-6,0,0,0,0,148,1,1073
13204,1320402,31454,10257,1025702,30257,ALB,"Albany, NY",NY,1331,-2,13,3,1607,-6,0,0,0,0,140,1,1073
13204,1320402,31454,10257,1025702,30257,ALB,"Albany, NY",NY,1322,-11,9,3,1557,-16,0,0,0,0,143,1,1073
13204,1320402,31454,10257,1025702,30257,ALB,"Albany, NY",NY,1649,196,19,3,1938,205,205,1,0,0,147,1,1073
13204,1320402,31454,10257,1025702,30257,ALB,"Albany, NY",NY,1328,-5,14,3,1610,-3,0,0,0,0,145,1,1073
13204,1320402,31454,10257,1025702,30257,ALB,"Albany, NY",NY,1328,-5,14,3,1603,-10,0,0,0,0,138,1,1073
13204,1320402,31454,10257,1025702,30257,ALB,"Albany, NY",NY,1334,1,19,3,1606,-7,0,0,0,0,130,1,1073
13204,1320402,31454,10257,1025702,30257,ALB,"Albany, NY",NY,1324,-9,20,4,1600,-13,0,0,0,0,132,1,1073
13204,1320402,31454,10257,1025702,30257,ALB,"Albany, NY",NY,1339,6,13,3,1613,0,0,0,0,0,138,1,1073
13204,1320402,31454,10257,1025702,30257,ALB,"Albany, NY",NY,1531,118,13,3,1800,107,107,1,0,0,133,1,1073
13204,1320402,31454,10257,1025702,30257,ALB,"Albany, NY",NY,1328,-5,11,2,1553,-20,0,0,0,0,132,1,1073
13204,1320402,31454,10257,1025702,30257,ALB,"Albany, NY",NY,1326,-7,9,2,1548,-25,0,0,0,0,131,1,1073
13204,1320402,31454,10257,1025702,30257,ALB,"Albany, NY",NY,1326,-7,17,2,1553,-20,0,0,0,0,128,1,1073
13204,1320402,31454,10257,1025702,30257,ALB,"Albany, NY",NY,1323,-10,12,2,1545,-28,0,0,0,0,128,1,1073
